Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Dark Decider,1144014195,"""6917529894814747513""",,Legendary,Auto Rifle,ironbanner,Energy,Arc,1810,,Reload Speed,3,Titan(1816),false,false,6,20,,58,72,18,30,16,0,0,79,720,19,50,39,0,0,0,0,0,0,0,0,0,10,false,0,371,veist,Delta,,Rapid-Fire Frame*,Polygonal Rifling*,Smallbore,Extended Mag,Armor-Piercing Rounds*,Iron Grip*,Voltshot*,Counterbalance Stock*,Tier 3: Reload Speed*,Skulking Wolf,Veist Stinger*,Kill Tracker*,Crucible Tracker,,,,,
Graviton Lance,3628991658,"""6917529832226568064""",,Exotic,Pulse Rifle,,Energy,Void,1800,,"Range, Aim Assistance",10,Titan(1816),true,false,1,1,,85,75,29,90,17,0,0,100,300,57,31,49,0,0,0,0,0,0,0,0,0,27,false,0,1221,,,,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Graviton Lance Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Drang (Baroque),502356570,"""6917529876428442857""",,Legendary,Sidearm,dcv,Energy,Solar,1800,,,,Titan(1816),false,false,5,17,,95,70,49,40,13,0,0,70,300,45,18,76,0,0,0,0,0,0,0,0,0,23,false,0,184,,"Bonk with synthos Survive, Mactics' Ashen Wake Titan",,Together Forever*,Corkscrew Rifling*,Smallbore,Alloy Magazine,Flared Magwell*,Moving Target*,Incandescent*,Counterbalance Stock*,To Excess*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,
The Other Half,3257091167,"""6917529896187253118""",,Legendary,Sword,30th,Power,Void,1800,,Impact,10,Titan(1816),true,false,4,15,,0,0,65,0,0,0,0,0,0,0,69,0,0,0,0,22,52,50,50,42,0,0,true,39,854,,PvE,,Adaptive Frame*,Tempered Edge*,Balanced Guard*,Eager Edge*,Whirlwind Blade*,Pulp Texture*,Backup Mag*,*,Hot Swap*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Thin Precipice,4066778670,"""6917529903367999650""",,Legendary,Sword,,Power,Strand,1800,,Impact,3,Titan(1816),false,false,6,21,,0,0,61,0,0,0,0,0,0,0,60,0,0,0,0,20,50,50,50,40,0,0,false,0,5,,,,Vortex Frame*,Hungry Edge*,Jagged Edge,Tempered Edge,Balanced Guard*,Burst Guard,Valiant Charge*,Counterattack*,Tier 3: Impact*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*
Half-Truths,3257091166,"""6917529865345467508""",,Legendary,Sword,30th,Power,Arc,1600,,Impact,2,Titan(1816),true,false,4,15,,0,0,59,0,0,0,0,0,0,0,70,0,0,0,0,20,0,100,90,40,0,0,false,0,128,,,,Adaptive Frame*,Hungry Edge,Enduring Blade*,Honed Edge,Enduring Guard*,Swordmaster's Guard,Relentless Strikes*,Eager Edge*,Sinking Feeling*,Backup Mag*,Tier 2: Impact*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,
Tractor Cannon,3580904581,"""6917529800573469952""",,Exotic,Shotgun,,Power,Void,1600,,"Magazine, Inventory Size",10,Titan(1816),true,false,1,1,,70,90,65,20,12,0,0,95,80,15,7,35,0,0,0,0,0,0,0,0,0,8,false,0,5,,"Bonk with synthos Survive, Bonk",,Repulsor Force*,Extended Barrel*,Particle Repeater*,The Scientific Method*,Composite Stock*,Tractor Cannon Catalyst*,Kill Tracker,Crucible Tracker*,,,,,,,,,,
Sleeper Simulant,4036115577,"""6917529869063447974""",,Exotic,Linear Fusion Rifle,,Power,Solar,1800,,Charge Time,10,Titan(1816),false,false,1,3,,65,57,41,59,25,0,0,54,0,44,4,40,774,0,0,0,0,0,0,0,0,9,false,0,376,,"Alpha, Gamma, Strike",,Dornröschen*,Polygonal Rifling*,Flared Magwell*,Moving Target*,Composite Stock*,Sleeper Simulant Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Unwavering Duty,906840740,"""6917529884361472357""",,Legendary,Machine Gun,trials,Power,Solar,1800,,Range,1,Titan(1816),false,false,6,20,,76,72,41,59,16,0,0,65,450,68,64,65,0,0,0,0,0,0,0,0,0,10,false,0,30,suros,Bonk with synthos Survive,,Adaptive Frame*,Fluted Barrel*,Polygonal Rifling,Appended Mag*,Armor-Piercing Rounds,Ambitious Assassin*,Incandescent*,Tier 1: Range*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker*,Crucible Tracker,,,,,
Threaded Needle,3075224551,"""6917529895429949481""",,Legendary,Linear Fusion Rifle,battlegrounds,Power,Void,1807,,"Charge Time, Impact",8,Titan(1816),false,false,4,13,,65,62,42,37,25,0,0,52,0,20,5,43,506,0,0,0,0,0,0,0,0,6,false,0,35,,,,Precision Frame*,Fluted Barrel*,Liquid Coils*,Clown Cartridge*,Dragonfly*,Boss Spec*,Tier 8: Charge Time*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Palmyra-B,3489657138,"""6917529904361263601""",,Legendary,Rocket Launcher,legendaryengram,Power,Stasis,1800,,Blast Radius,1,Titan(1816),false,false,5,16,,65,62,0,0,20,26,64,25,15,52,1,43,0,0,0,0,0,0,0,0,0,5,false,0,0,hakke,,,Häkke Precision Frame*,Hard Launch*,Quick Launch,Alloy Casing*,Implosion Rounds,Ambitious Assassin*,Chill Clip*,Tier 1: Blast Radius*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Grand Overture,1763584999,"""6917529728253337518""",,Exotic,Machine Gun,seasonpass,Power,Arc,1810,,"Handling, Stability",10,Titan(1816),true,false,5,16,,59,60,53,100,17,0,0,100,100,60,70,56,0,0,0,0,0,0,0,0,0,11,false,0,3,,,,Wrath of the Colossus*,Hammer-Forged Rifling*,Accurized Rounds*,Omega Strike*,Hand-Laid Stock*,Kill Tracker*,Crucible Tracker,Grand Overture Catalyst*,,,,,,,,,,
Shayura's Wrath,3682803680,"""6917529905569520369""",,Legendary,Submachine Gun,trials,Energy,Void,1800,,Handling,2,Titan(1816),true,false,5,16,,95,60,25,59,15,0,0,64,600,24,27,34,0,0,0,0,0,0,0,0,0,32,false,0,0,,,,Precision Frame*,Corkscrew Rifling*,Polygonal Rifling,Steady Rounds*,Flared Magwell,Dynamic Sway Reduction*,Harmony*,Tier 2: Handling*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,,,
Targeted Redaction,3890055324,"""6917529905934531750""",,Legendary,Hand Cannon,,Energy,Void,1810,,Stability,5,Titan(1816),false,false,6,21,,99,60,92,71,14,0,0,18,120,25,10,21,0,0,0,0,0,0,0,0,0,15,false,0,0,,,,Aggressive Frame*,Full Bore*,Hammer-Forged Rifling,Appended Mag*,Extended Mag,Perfect Float*,Collective Action*,Tier 5: Stability*,Kill Tracker*,Crucible Tracker,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,
Synchronic Roulette,811403305,"""6917529903725520980""",,Legendary,Submachine Gun,neomuna,KineticSlot,Strand,1800,,Reload Speed,1,Titan(1816),false,false,6,20,,100,52,25,58,14,0,0,39,600,0,29,12,0,0,0,0,0,0,0,0,0,28,false,0,0,,,,Precision Frame*,Extended Barrel*,Fluted Barrel,Extended Mag*,Armor-Piercing Rounds,Keep Away*,Kill Clip*,Tier 1: Reload Speed*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,
Positive Outlook,491078457,"""6917529904066742131""",,Legendary,Auto Rifle,strikes,Energy,Void,1800,,Stability,1,Titan(1816),false,false,6,21,,96,26,29,64,16,0,0,48,450,58,33,56,0,0,0,0,0,0,0,0,0,10,false,0,0,omolon,,,Precision Frame*,Arrowhead Brake*,Fluted Barrel,Flared Magwell*,Light Mag,Zen Moment*,Destabilizing Rounds*,Tier 1: Stability*,Vanguard's Vindication*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Outlast,1678205741,"""6917529907400796753""",,Legendary,Pulse Rifle,seasonpass,Energy,Solar,1800,,Handling,3,Titan(1816),false,false,6,21,,70,78,23,35,17,0,0,52,540,25,32,19,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Full Bore,Armor-Piercing Rounds*,Ricochet Rounds,Keep Away*,Demolitionist*,Tier 3: Handling*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Sole Survivor,1150492185,"""6917529904843348125""",,Legendary,Sniper Rifle,seasonpass,Energy,Arc,1800,,Reload Speed,4,Titan(1816),false,false,6,21,,80,51,70,55,40,0,0,36,90,47,5,42,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Adaptive Frame*,Hammer-Forged Rifling*,Smallbore,Appended Mag*,Ricochet Rounds,Rapid Hit*,Firing Line*,Tier 4: Reload Speed*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Last Man Standing,4287947559,"""6917529907409727941""",,Legendary,Shotgun,seasonpass,Energy,Solar,1800,,Range,2,Titan(1816),false,false,6,21,,47,26,80,38,12,0,0,19,55,31,5,10,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Aggressive Frame*,Rifled Barrel*,Full Choke,Appended Mag*,Accurized Rounds,Opening Shot*,One-Two Punch*,Tier 2: Range*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Spare Rations,3236112986,"""6917529904819691421""",,Legendary,Hand Cannon,seasonpass,KineticSlot,Kinetic,1800,,Reload Speed,4,Titan(1816),false,false,6,21,,100,83,84,51,14,0,0,37,140,60,13,66,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Adaptive Frame*,Full Bore*,Smallbore,Alloy Magazine*,High-Caliber Rounds,Offhand Strike*,Kill Clip*,Tier 4: Reload Speed*,Kill Tracker*,Crucible Tracker,Disaster Plan*,,,,,,,
Outbreak Perfected,400096939,"""6917529904496535326""",,Exotic,Pulse Rifle,,KineticSlot,Kinetic,1810,,,,Titan(1816),false,true,2,6,,90,65,27,64,17,0,0,40,450,45,35,35,0,0,0,0,0,0,0,0,0,29,false,0,687,,Crucible tryhard,,The Corruption Spreads*,Extended Barrel*,Accurized Rounds*,Outlaw*,Parasitism*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
IKELOS_SMG_v1.0.3,2149683300,"""6917529892315934251""",,Legendary,Submachine Gun,rasputin,Energy,Arc,1806,,,,Titan(1816),false,true,5,19,,100,37,22,39,14,0,0,40,750,24,28,72,0,0,0,0,0,0,0,0,0,20,true,18,914,,"D2ArmorPicker Loadout, Strike",,Aggressive Frame*,Arrowhead Brake*,Steady Rounds*,Feeding Frenzy*,Voltshot*,*,Rasputin's Arsenal*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Regnant,268260372,"""6917529899989775107""",,Legendary,Grenade Launcher,seasonpass,Power,Void,1810,,Reload Speed,10,Titan(1816),false,true,6,20,,74,61,0,0,13,57,35,54,120,49,6,42,0,0,0,0,0,0,0,0,0,14,true,43,408,,"Bonk, Crucible tryhard",,Adaptive Frame*,Linear Compensator*,Spike Grenades*,Envious Assassin*,Explosive Light*,Joyful Gift*,Boss Spec*,*,Noble Deeds*,Gambit Memento Tracker,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Gambit Memento*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
The Immortal (Adept),3193598749,"""6917529877705276302""",,Legendary,Submachine Gun,trials,KineticSlot,Strand,1810,,Stability,10,Hunter(1811),false,false,6,20,,96,39,22,73,14,0,0,35,750,33,28,56,0,0,0,0,0,0,0,0,0,25,false,0,34,,"Crucible tryhard, Gamma, Strike",,Aggressive Frame*,Chambered Compensator,Full Bore*,High-Caliber Rounds,Ricochet Rounds*,Keep Away*,Kill Clip*,Tap the Trigger,Jacarina*,Adept Range*,Masterworked: Stability*,Alacrity*,One Quiet Moment,Field-Tested,Kill Tracker,Crucible Tracker*,,
No Time to Explain,1594120904,"""6917529823461357031""",,Exotic,Pulse Rifle,deluxe,KineticSlot,Kinetic,1600,,,,Hunter(1811),true,false,4,12,,73,40,33,80,17,0,0,60,340,60,24,57,0,0,0,0,0,0,0,0,0,24,false,0,0,,,,Rewind Again*,Fluted Barrel*,Accurized Rounds*,Time-Slip*,Feeding Frenzy*,Chronos Exegesis*,Kill Tracker,Crucible Tracker*,Empty Catalyst Socket*,,,,,,,,,
Pressurized Precision,1084190509,"""6917529906627876164""",,Legendary,Fusion Rifle,ironbanner,KineticSlot,Strand,1800,,Range,1,Hunter(1811),false,false,6,21,,55,43,70,41,15,0,0,47,0,40,7,50,660,0,0,0,0,0,0,0,0,4,false,0,0,,,,Adaptive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Enhanced Battery*,Liquid Coils,Firmly Planted*,Eye of the Storm*,Tier 1: Range*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,,
Synchronic Roulette,811403305,"""6917529873494456303""",,Legendary,Submachine Gun,neomuna,KineticSlot,Strand,1767,,Range,3,Hunter(1811),false,false,6,20,,93,52,25,66,14,0,0,39,600,19,26,22,0,0,0,0,0,0,0,0,0,18,false,0,6,,,,Precision Frame*,Arrowhead Brake,Hammer-Forged Rifling*,High-Caliber Rounds*,Flared Magwell,Keep Away*,Elemental Capacitor*,Tier 3: Range*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,
Disparity,1751893422,"""6917529878945986330""",,Legendary,Pulse Rifle,rasputin,KineticSlot,Stasis,1810,,Stability,10,Hunter(1811),true,false,5,19,,97,50,35,62,19,0,0,89,450,30,39,42,0,0,0,0,0,0,0,0,0,27,true,74,51,hakke,"Crucible tryhard, Dungeon, Trials, Gambit, Crucible",,Aggressive Burst*,Arrowhead Brake*,Steady Rounds*,Moving Target*,Headseeker*,Gleaming Keepsake*,Targeting Adjuster*,*,Ambush*,Hakke Breach Armaments,Trials Memento Tracker*,Kill Tracker,Crucible Tracker,Shaped Weapon*,Trials Memento*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,
Pressurized Precision,1084190509,"""6917529906627881017""",,Legendary,Fusion Rifle,ironbanner,KineticSlot,Strand,1800,,Range,2,Hunter(1811),false,false,6,21,,85,43,70,42,15,0,0,42,0,40,7,45,660,0,0,0,0,0,0,0,0,4,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,Enhanced Battery*,Projection Fuse,Moving Target*,Cornered*,Freehand Grip*,Tier 2: Range*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,
Reckless Endangerment,3216652511,"""6917529902195275715""",,Legendary,Shotgun,crucible,KineticSlot,Kinetic,1809,,Handling,10,Hunter(1811),false,false,5,16,,60,50,65,42,12,0,0,50,90,59,6,75,0,0,0,0,0,0,0,0,0,3,false,0,0,,,,Lightweight Frame*,Full Choke*,Assault Mag*,Perpetual Motion*,Steady Hands,Swashbuckler*,Snapshot Sights,Masterworked: Handling*,Kill Tracker*,Crucible Tracker,Vanguard's Vindication*,One Quiet Moment,Gun and Run,,,,,
Austringer,3055790362,"""6917529906615509298""",,Legendary,Hand Cannon,dcv,KineticSlot,Kinetic,1600,,,,Hunter(1811),true,false,5,17,,95,75,84,51,14,0,0,64,140,46,11,52,0,0,0,0,0,0,0,0,0,13,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Alloy Magazine*,High-Caliber Rounds,Snapshot Sights*,Zen Moment*,To Excess*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Royal Chase,2776503072,"""6917529896187253129""",,Legendary,Scout Rifle,seasonpass,Energy,Void,1800,,Range,4,Hunter(1811),false,false,4,12,,73,63,62,62,20,0,0,38,180,40,16,31,0,0,0,0,0,0,0,0,0,10,false,0,152,,,,Precision Frame*,Extended Barrel*,Polygonal Rifling,Accurized Rounds*,Flared Magwell,Slideways*,Dragonfly*,Minor Spec*,Tier 4: Range*,Kill Tracker*,Crucible Tracker,,,,,,,
Le Monarque,3588934839,"""6917529826220047284""",,Exotic,Combat Bow,ada,Energy,Void,1809,,,,Hunter(1811),true,false,2,5,,78,70,76,0,18,0,0,51,0,50,0,69,0,684,78,0,0,0,0,0,0,18,false,0,584,,,,Poison Arrows*,Natural String*,Compact Arrow Shaft*,Snapshot Sights*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Ruinous Effigy,1363238943,"""6917529858505446435""",,Exotic,Trace Rifle,,Energy,Void,1600,,,,Hunter(1811),false,false,3,11,,96,84,8,45,12,0,0,78,1000,33,94,53,0,0,0,0,0,0,0,0,0,16,false,0,24,,,,Transmutation*,Hammer-Forged Rifling*,Particle Repeater*,Evolution*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Matador 64,2563012876,"""6917529905378531713""",,Legendary,Shotgun,30th,Energy,Arc,1800,,Handling,3,Hunter(1811),false,false,4,15,,77,65,80,65,12,0,0,73,70,48,5,56,0,0,0,0,0,0,0,0,0,2,false,0,1,,,,Precision Frame*,Barrel Shroud*,Full Choke,Assault Mag*,Appended Mag,Lead from Gold*,One-Two Punch*,Tier 3: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Matador 64,2563012876,"""6917529895629587016""",,Legendary,Shotgun,30th,Energy,Arc,1800,,Stability,10,Hunter(1811),false,false,4,15,,77,65,80,72,12,0,0,70,65,58,6,43,0,0,0,0,0,0,0,0,0,2,false,0,78,,"Crucible tryhard, Nightfall, Crucible",,Precision Frame*,Smoothbore,Smallbore*,Tactical Mag*,Extended Mag,Tunnel Vision*,Opening Shot*,Transcendental Ambition*,Quick Access Sling*,Masterworked: Stability*,Kill Tracker*,Crucible Tracker,,,,,,
Mercurial Overreach,2073794990,"""6917529904066739666""",,Legendary,Sniper Rifle,crucible,Energy,Arc,1810,,Range,10,Hunter(1811),false,false,6,21,,85,63,70,90,40,0,0,59,90,50,4,47,0,0,0,0,0,0,0,0,0,5,false,0,7,,Crucible tryhard,,Adaptive Frame*,Extended Barrel*,Smallbore,Appended Mag,High-Caliber Rounds*,Surplus*,Elemental Capacitor*,Radar Tuner*,Masterworked: Range*,Composite Stock*,Hand-Laid Stock,Kill Tracker*,Crucible Tracker,,,,,
BxR-55 Battler,2708806099,"""6917529837932945341""",,Legendary,Pulse Rifle,30th,Energy,Solar,1810,,Stability,10,Hunter(1811),true,false,4,15,,100,90,23,47,18,0,0,89,450,65,35,83,0,0,0,0,0,0,0,0,0,17,true,93,244,,Crucible tryhard,,Legacy PR-55 Frame*,Arrowhead Brake*,Steady Rounds*,Perpetual Motion Enhanced*,Eye of the Storm*,New Age Black Armory*,Targeting Adjuster*,*,Hot Swap*,Kill Tracker,Crucible Tracker*,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
